Group,Environment,Round,Rescued Percent,Exploration Score,Elapsed Time Step,Rescue All Time step,Time Score,Final Score
3,easy,0,0.5333333333333333,0.87,3000,0,0,54.74
3,easy,1,0.3333333333333333,0.75,3000,0,0,38.36
3,easy,2,0.4,0.95,3000,0,0,47.00
3,no_com_zone,0,0.5333333333333333,0.95,3000,0,0,56.39
3,no_com_zone,1,0.4666666666666667,0.85,3000,0,0,49.74
3,no_com_zone,2,0.6,0.70,3000,0,0,56.03
3,no_gps_zone,0,0.5333333333333333,0.95,3000,0,0,56.26
3,no_gps_zone,1,0.6666666666666666,0.94,3000,0,0,65.41
3,no_gps_zone,2,0.3333333333333333,0.95,3000,0,0,42.27
3,kill_zone,0,0.2,0.65,3000,0,0,27.04
3,kill_zone,1,0.4,0.74,3000,0,0,42.77
3,kill_zone,2,0.4,0.94,3000,0,0,46.77
8,easy,0,0.9333333333333333,1.00,3000,0,0,85.33
8,easy,1,0.5333333333333333,1.00,2601,0,0,57.28
8,easy,2,0.8,0.98,2941,0,0,75.68
8,no_com_zone,0,0.8666666666666667,1.00,2123,0,0,80.60
8,no_com_zone,1,0.8,0.99,2743,0,0,75.86
8,no_com_zone,2,0.6666666666666666,0.96,2790,0,0,65.86
8,no_gps_zone,0,0.8666666666666667,0.99,3000,0,0,80.55
8,no_gps_zone,1,0.8,1.00,3000,0,0,75.92
8,no_gps_zone,2,1.0,1.00,2793,2386,0.20466666666666666,92.03
8,kill_zone,0,0.6,0.98,3000,0,0,61.53
8,kill_zone,1,0.6666666666666666,0.98,3000,0,0,66.24
8,kill_zone,2,0.5333333333333333,0.98,3000,0,0,56.85
10,easy,0,0.26666666666666666,0.73,3000,0,0,33.20
10,easy,1,0.2,0.76,3000,0,0,29.22
10,easy,2,0.2,0.53,3000,0,0,24.67
10,no_com_zone,0,0.2,0.81,3000,0,0,30.13
10,no_com_zone,1,0.06666666666666667,0.41,3000,0,0,12.79
10,no_com_zone,2,0.13333333333333333,0.59,3000,0,0,21.04
10,no_gps_zone,0,0.26666666666666666,0.72,3000,0,0,33.07
10,no_gps_zone,1,0.26666666666666666,0.48,3000,0,0,28.32
10,no_gps_zone,2,0.06666666666666667,0.75,3000,0,0,19.75
10,kill_zone,0,0.2,0.63,3000,0,0,26.61
10,kill_zone,1,0.13333333333333333,0.69,3000,0,0,23.05
10,kill_zone,2,0.2,0.69,3000,0,0,27.86
